"title","popularity","weighted_average","score","bag_of_words"
"12 Angry Men","0.01659260987547232","0.8838309364663643","0.36348794051182914","drama the defense and the prosecution have rested and the jury is filing into the jury room to decide if a young spanishamerican is guilty or innocent of murdering his father what begins as an open and shut case soon becomes a minidrama of each of the jurors prejudices and preconceptions about the trial the accused and each other "
"Léon: The Professional","0.02283922102855365","0.8740298016671113","0.36331545328397674","crime drama action léon the top hit man in new york has earned a rep as an effective cleaner but when his nextdoor neighbors are wiped out by a loosecannon dea agent he becomes the unwilling custodian of yearold mathilda before long mathildas thoughts turn to revenge and she considers following in léons footsteps "
"Shutter Island","0.021257419399147444","0.8743709751223376","0.36250284168842356","drama thriller mystery world war ii soldierturnedus marshal teddy daniels investigates the disappearance of a patient from a hospital for the criminally insane but his efforts are compromised by troubling visions and a mysterious doctor "
"Star Wars","0.025238579527083964","0.8681196367221597","0.3623910024051143","adventure action science fiction princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo rd and cpo to rescue the beautiful princess and restore peace and justice in the empire "
"The Good, the Bad and the Ugly","0.021349617987380082","0.8738372391429869","0.3623446664496229","western while the civil war rages on between the union and the confederacy three men – a quiet loner a ruthless hitman and a mexican bandit – comb the american southwest in search of a strongbox containing  in stolen gold "
"Django Unchained","0.01817535230679927","0.8771837361132817","0.36177870582939226","drama western with the help of a german bounty hunter a freed slave sets out to rescue his wife from a brutal mississippi plantation owner "
"Harry Potter and the Philosopher's Stone","0.06276842254801147","0.8092890251062415","0.3613766635713035","adventure fantasy harry potter has lived under the stairs at his aunt and uncles house his whole life but on his th birthday he learns hes a powerful wizard—with a place waiting for him at the hogwarts school of witchcraft and wizardry as he learns to harness his newfound powers with the help of the schools kindly headmaster harry uncovers the truth about his parents deaths—and about the villain whos to blame "
"Howl's Moving Castle","0.02337202851633342","0.8658213718746166","0.3603517658596467","fantasy animation adventure sophie a young milliner is turned into an elderly woman by a witch who enters her shop and curses her she encounters a wizard named howl and gets caught up in his resistance to fighting for the king "
"Alien","0.03331661841920817","0.849811359565219","0.3599145148776125","horror science fiction during its return to the earth commercial spaceship nostromo intercepts a distress signal from a distant planet when a threemember team of the crew discovers a chamber containing thousands of eggs on the planet a creature inside one of the eggs attacks an explorer the entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed "
"The Intouchables","0.015275800787074887","0.8762605739314668","0.35966971004483167","drama comedy a true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects "
"Harry Potter and the Deathly Hallows: Part 2","0.037132197409094236","0.8433292801653824","0.35961103051160953","fantasy adventure harry ron and hermione continue their quest to vanquish the evil voldemort once and for all just as things begin to look hopeless for the young wizards harry discovers a trio of magical objects that endow him with powers to rival voldemorts formidable skills "
"One Flew Over the Cuckoo's Nest","0.015616998283663697","0.869897568318988","0.3573292262977934","drama a petty criminal fakes insanity to serve his sentence in a mental ward rather than prison he soon finds himself as a leader to the other patients—and an enemy to the cruel domineering nurse who runs the ward "
"Puss in Boots: The Last Wish","0.055736241791111245","0.8069412067722797","0.35621822778357864","animation adventure fantasy comedy family puss in boots discovers that his passion for adventure has taken its toll he has burned through eight of his nine lives leaving him with only one life left puss sets out on an epic journey to find the mythical last wish and restore his nine lives "
"The Shining","0.018366962297990227","0.8626158123752188","0.35606650232888165","horror thriller jack torrance accepts a caretaker job at the overlook hotel where he along with his wife wendy and their son danny must live isolated from the rest of the world for the winter but they arent prepared for the madness that lurks within "
"Top Gun: Maverick","0.04683500121833849","0.8170471556958179","0.35491986300933026","action drama after more than thirty years of service as one of the navy’s top aviators and dodging the advancement in rank that would ground him pete “maverick” mitchell finds himself training a detachment of top gun graduates for a specialized mission the likes of which no living pilot has ever seen "
"The Wolf of Wall Street","0.03511699969486658","0.8334898131124586","0.3544661250619034","crime drama comedy a new york stockbroker refuses to cooperate in a large securities fraud case involving corruption on wall street corporate banking world and mob infiltration based on jordan belforts autobiography "
"Saving Private Ryan","0.017987191922651028","0.8574674420662614","0.3537792919800952","drama history war as us troops storm the beaches of normandy three brothers lie dead on the battlefield with a fourth trapped behind enemy lines ranger captain john miller and seven men are tasked with penetrating germanheld territory and bringing the boy home "
"The Silence of the Lambs","0.0026656054421000707","0.8784608789504864","0.35298371484545465","crime drama thriller clarice starling is a top student at the fbis training academy  jack crawford wants clarice to interview dr hannibal lecter a brilliant psychiatrist who is also a violent psychopath serving life behind bars for various acts of murder and cannibalism  crawford believes that lecter may have insight into a case and that starling as an attractive young woman may be just the bait to draw him out "
"Harry Potter and the Prisoner of Azkaban","0.04043692095601783","0.8215768487580475","0.3528928920768297","adventure fantasy year three at hogwarts means new fun and challenges as harry learns the delicate art of approaching a hippogriff transforming shapeshifting boggarts into hilarity and even turning back time but the term also brings danger soulsucking dementors hover over the school an ally of the accursed hewhocannotbenamed lurks within the castle walls and fearsome wizard sirius black escapes azkaban and harry will confront them all "
"Psycho","0.009820717649977155","0.86683330916273","0.3526257542550783","horror thriller mystery when larcenous real estate clerk marion crane goes on the lam with a wad of cash and hopes of starting a new life she ends up at the notorious bates motel where manager norman bates cares for his housebound mother "
"The Pianist","0.014222729837125237","0.8587222927199927","0.35202255499027224","drama war the true story of pianist władysław szpilmans experiences in warsaw during the nazi occupation when the jews of the city find themselves forced into a ghetto szpilman finds work playing in a café and when his family is deported in  he stays behind works for a while as a laborer and eventually goes into hiding in the ruins of the wartorn city "
"The Prestige","0.016400059082360623","0.855170970005185","0.3519084234514904","drama mystery science fiction a mysterious story of two magicians whose intense rivalry leads them on a lifelong battle for supremacy  full of obsession deceit and jealousy with dangerous and deadly consequences "
"Dune: Part Two","0.07213536007155114","0.7711252711295817","0.3517313244947634","science fiction adventure follow the mythic journey of paul atreides as he unites with chani and the fremen while on a path of revenge against the conspirators who destroyed his family facing a choice between the love of his life and the fate of the known universe paul endeavors to prevent a terrible future only he can foresee "
"Dead Poets Society","0.015335698509362079","0.856008769510338","0.3516049269097524","drama at an elite oldfashioned boarding school in new england a passionate english teacher inspires his students to rebel against convention and seize the potential of every day courting the disdain of the stern headmaster "
"Titanic","0.04878152039235204","0.8034320454547148","0.3506417304172972","drama romance yearold rose dewitt bukater tells the story of her life aboard the titanic  years later a young rose boards the ship with her mother and fiancé meanwhile jack dawson and fabrizio de rossi win thirdclass tickets aboard the ship rose tells the whole story from titanics departure through to its death—on its first and last voyage—on april   "
